                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                 1.1154,                0.48023,                0.91435,                0.97772,                0.98412,                0.98912,                0.64246,                 1.1846,                0.45867,                0.91142,              0.0006834,              0.0006834,              0.0006834
                    152,                 1.1235,                0.49216,                 0.9007,                0.97306,                0.97979,                0.98384,                0.64859,                 1.1898,                0.45848,                0.91139,              0.0006768,              0.0006768,              0.0006768
                    153,                 1.1295,                0.49855,                0.91071,                0.98217,                0.98071,                0.99069,                0.64212,                 1.1879,                0.45793,                0.91283,              0.0006702,              0.0006702,              0.0006702
                    154,                 1.0815,                0.48186,                0.89547,                0.98019,                0.98269,                0.98723,                0.63145,                 1.1846,                0.46498,                0.90698,              0.0006636,              0.0006636,              0.0006636
                    155,                  1.122,                0.48884,                0.90922,                 0.9826,                0.98008,                0.98793,                0.65242,                 1.1744,                0.46311,                  0.909,               0.000657,               0.000657,               0.000657
                    156,                 1.1076,                0.48515,                0.90258,                0.98176,                0.99131,                0.99284,                0.64971,                 1.2025,                0.45948,                0.91331,              0.0006504,              0.0006504,              0.0006504
                    157,                 1.0972,                0.48146,                 0.8983,                0.98658,                0.98842,                0.99116,                0.63355,                 1.2453,                0.47819,                0.92196,              0.0006438,              0.0006438,              0.0006438
                    158,                 1.1322,                 0.4983,                0.90926,                 0.9767,                0.98095,                0.97936,                0.62707,                 1.2704,                0.48028,                0.92708,             0.00063719,             0.00063719,             0.00063719
                    159,                 1.1312,                0.49593,                0.90683,                0.97603,                0.97951,                0.98195,                0.62856,                 1.2443,                0.47629,                0.92925,             0.00063059,             0.00063059,             0.00063059
                    160,                 1.0805,                0.47561,                0.89798,                0.97955,                0.98077,                0.98946,                0.64874,                 1.1723,                0.45827,                0.90881,             0.00062399,             0.00062399,             0.00062399
                    161,                 1.1061,                0.48978,                0.89933,                0.98104,                0.98079,                0.99059,                0.65314,                 1.1922,                0.45869,                0.91164,             0.00061739,             0.00061739,             0.00061739
                    162,                 1.1146,                0.49261,                0.90724,                0.97053,                0.98389,                0.99131,                0.64274,                 1.2113,                0.45623,                0.91729,             0.00061079,             0.00061079,             0.00061079
                    163,                 1.1297,                0.49006,                0.91645,                0.96682,                0.98008,                0.98855,                0.63767,                 1.2202,                0.47112,                 0.9158,             0.00060419,             0.00060419,             0.00060419
                    164,                 1.0886,                0.49288,                0.88492,                 0.9751,                0.97507,                0.98107,                0.63269,                 1.2417,                0.48336,                 0.9262,             0.00059759,             0.00059759,             0.00059759
                    165,                 1.0697,                0.47964,                0.89767,                0.97421,                0.98357,                0.98881,                 0.6434,                 1.2059,                0.46728,                0.91718,             0.00059098,             0.00059098,             0.00059098
                    166,                 1.1195,                0.48582,                0.90132,                0.98131,                0.98057,                0.98984,                0.65698,                 1.1822,                0.45921,                0.91263,             0.00058438,             0.00058438,             0.00058438
                    167,                 1.0321,                0.45297,                0.88198,                0.97408,                0.97282,                0.98304,                0.64791,                 1.2255,                  0.457,                0.92698,             0.00057778,             0.00057778,             0.00057778
                    168,                 1.0709,                0.45841,                0.90711,                0.97267,                0.97249,                0.98289,                0.65346,                 1.2061,                 0.4552,                0.91428,             0.00057118,             0.00057118,             0.00057118
                    169,                 1.0739,                0.47821,                0.89673,                0.97755,                0.97317,                0.98771,                0.64825,                 1.2105,                0.47616,                0.91987,             0.00056458,             0.00056458,             0.00056458
                    170,                 1.0543,                0.46527,                0.89816,                0.98142,                0.97735,                0.98891,                0.66092,                 1.1938,                0.45043,                0.91255,             0.00055798,             0.00055798,             0.00055798
                    171,                 1.1159,                0.46739,                0.90715,                0.97153,                0.97552,                 0.9888,                0.64898,                 1.1855,                0.46577,                 0.9105,             0.00055138,             0.00055138,             0.00055138
                    172,                 1.1039,                0.47276,                0.90503,                0.97871,                 0.9811,                0.98861,                0.64697,                 1.1701,                0.45074,                0.90638,             0.00054478,             0.00054478,             0.00054478
                    173,                 1.0573,                0.45906,                0.89518,                0.97827,                 0.9806,                0.98975,                0.65243,                 1.2136,                0.44599,                0.91692,             0.00053817,             0.00053817,             0.00053817
                    174,                 1.1104,                0.46945,                0.88894,                 0.9793,                0.98068,                0.99097,                0.64708,                 1.2261,                0.44747,                0.91818,             0.00053157,             0.00053157,             0.00053157
                    175,                 1.0749,                0.45909,                0.90465,                0.98087,                0.98059,                0.98989,                0.65023,                 1.2105,                 0.4464,                0.91646,             0.00052497,             0.00052497,             0.00052497
                    176,                 1.0513,                0.45519,                0.89084,                0.98097,                0.98089,                0.98781,                0.64011,                  1.233,                0.45531,                0.92125,             0.00051837,             0.00051837,             0.00051837
